image_path,gender_female,gender_male,imagequality_Average,imagequality_Bad,imagequality_Good,age_15-25,age_25-35,age_35-45,age_45-55,age_55+,weight_normal-healthy,weight_over-weight,weight_slightly-overweight,weight_underweight,carryingbag_Daily/Office/Work Bag,carryingbag_Grocery/Home/Plastic Bag,carryingbag_None,footwear_CantSee,footwear_Fancy,footwear_Normal,emotion_Angry/Serious,emotion_Happy,emotion_Neutral,emotion_Sad,bodypose_Back,bodypose_Front-Frontish,bodypose_Side
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/24.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/25.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/26.jpg,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/27.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/28.jpg,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/29.jpg,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/30.jpg,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/31.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/32.jpg,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/33.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/34.jpg,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/35.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/36.jpg,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/37.jpg,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/38.jpg,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/39.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/40.jpg,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/41.jpg,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/42.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/43.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/44.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/45.jpg,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/46.jpg,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/47.jpg,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/48.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/49.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/50.jpg,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/51.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/52.jpg,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/53.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/54.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/55.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/56.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/57.jpg,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/58.jpg,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/59.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/60.jpg,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/61.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/62.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/63.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/64.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/65.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/66.jpg,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/67.jpg,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/68.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/69.jpg,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/70.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/71.jpg,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/72.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/73.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/74.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/75.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/76.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/77.jpg,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/78.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/79.jpg,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/80.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/81.jpg,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/82.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/83.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/84.jpg,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/85.jpg,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/86.jpg,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/87.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/88.jpg,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/89.jpg,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/90.jpg,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/91.jpg,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/92.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/93.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/94.jpg,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/95.jpg,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/96.jpg,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/97.jpg,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/98.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/99.jpg,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/100.jpg,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/101.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/102.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/103.jpg,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/104.jpg,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/105.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/106.jpg,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/107.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/108.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/109.jpg,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/110.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/111.jpg,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/112.jpg,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/113.jpg,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/114.jpg,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/115.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/116.jpg,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/117.jpg,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/118.jpg,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/119.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/120.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/121.jpg,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/122.jpg,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/123.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/124.jpg,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/125.jpg,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/126.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/127.jpg,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/128.jpg,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/129.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/130.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/131.jpg,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/132.jpg,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/133.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/134.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/135.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/136.jpg,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/137.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/138.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/139.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/140.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
